User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_852,Word Embeddings,9,9,None,MEDIUM,Video,No
user_076,Transformers,8,7,Confused convolutional filters,MEDIUM,Peer Discussion,No
user_299,CNNs,3,1,Confused convolutional filters,MEDIUM,Video,No
user_072,LLMs in Real-World Applications,9,8,Failed to normalize input data,LOW,Hands-on Coding,No
user_032,Diffusion Models,5,4,None,LOW,Video,No
user_508,Few-shot Learning,3,2,None,HIGH,Hands-on Coding,No
user_077,Few-shot Learning,10,8,Failed to normalize input data,LOW,Hands-on Coding,No
user_996,RNNs,6,4,Misused activation function,HIGH,Hands-on Coding,No
user_965,Explainability in AI,9,8,None,HIGH,Video,Yes
user_791,Optimization Techniques,8,6,None,LOW,Hands-on Coding,No
user_334,Few-shot Learning,3,2,Confused batch vs. stochastic gradient descent,MEDIUM,Hands-on Coding,No
user_948,Diffusion Models,5,4,Misunderstood positional encoding in transformers,HIGH,Peer Discussion,Yes
user_633,Reinforcement Learning,6,4,None,LOW,Peer Discussion,No
user_549,LLMs in Real-World Applications,8,6,Misused dropout layers,MEDIUM,Reading & Notes,No
user_286,Attention Mechanisms,4,3,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_224,Diffusion Models,10,9,Misused dropout layers,HIGH,Hands-on Coding,No
user_503,Diffusion Models,8,8,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,No
user_977,Diffusion Models,5,4,None,MEDIUM,Video,No
user_255,Word Embeddings,2,2,None,LOW,Video,No
user_858,GANs,5,3,None,HIGH,Peer Discussion,Yes
user_748,Gradient Descent,5,5,Confused reinforcement learning reward shaping,HIGH,Reading & Notes,No
user_927,RNNs,8,8,None,HIGH,Video,Yes
user_850,Explainability in AI,10,8,None,LOW,Hands-on Coding,No
user_575,Neural Networks,10,9,Misclassified overfitting vs underfitting,LOW,Video,No
user_086,Overfitting and Regularization,5,3,Confused convolutional filters,LOW,Reading & Notes,No
user_130,Transformers,9,9,Misused activation function,MEDIUM,Peer Discussion,No
user_882,RNNs,9,8,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_927,CNNs,8,7,None,HIGH,Hands-on Coding,No
user_190,Neural Networks,7,7,None,MEDIUM,Peer Discussion,No
user_783,Multi-modal Learning,10,10,Confused batch vs. stochastic gradient descent,LOW,Hands-on Coding,No
user_066,Diffusion Models,4,4,None,MEDIUM,Hands-on Coding,No
user_742,Optimization Techniques,7,7,None,MEDIUM,Video,No
user_238,RNNs,10,10,Confused convolutional filters,HIGH,Hands-on Coding,No
user_304,Ethical AI,10,9,None,LOW,Peer Discussion,No
user_642,Gradient Descent,10,9,Misunderstood positional encoding in transformers,HIGH,Reading & Notes,No
user_099,Backpropagation,7,5,Misused activation function,LOW,Reading & Notes,No
user_845,Explainability in AI,2,1,Incorrect weight initialization,HIGH,Reading & Notes,No
user_696,Vector Search,3,3,Incorrect weight initialization,LOW,Peer Discussion,No
user_947,Neural Networks,5,5,Misused activation function,MEDIUM,Video,No
user_693,Self-supervised Learning,9,7,None,LOW,Peer Discussion,No
user_094,Autoencoders,1,1,None,LOW,Video,No
user_970,Overfitting and Regularization,9,8,Misused dropout layers,MEDIUM,Reading & Notes,No
user_072,Multi-modal Learning,7,5,None,LOW,Peer Discussion,No
user_162,LLMs in Real-World Applications,4,4,None,LOW,Reading & Notes,No
user_212,Multi-modal Learning,7,7,None,HIGH,Video,No
user_929,Zero-shot Learning,8,7,Misclassified overfitting vs underfitting,MEDIUM,Reading & Notes,No
user_975,Ethical AI,6,6,None,LOW,Hands-on Coding,No
