User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_989,Word Embeddings,7,5,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_507,RNNs,3,1,None,LOW,Video,No
user_570,Ethical AI,6,4,None,MEDIUM,Hands-on Coding,No
user_513,RNNs,7,5,Failed to normalize input data,LOW,Reading & Notes,No
user_558,Ethical AI,3,3,Incorrect weight initialization,MEDIUM,Hands-on Coding,No
user_775,GANs,5,5,None,MEDIUM,Reading & Notes,No
user_555,Optimization Techniques,1,1,Confused convolutional filters,LOW,Reading & Notes,No
user_799,CNNs,6,6,None,LOW,Video,No
user_340,Few-shot Learning,5,3,None,HIGH,Peer Discussion,Yes
user_282,Gradient Descent,5,3,None,HIGH,Hands-on Coding,No
user_128,Autoencoders,4,2,None,LOW,Reading & Notes,No
user_464,Multi-modal Learning,2,1,Misused dropout layers,LOW,Video,No
user_837,Autoencoders,3,2,Confused convolutional filters,MEDIUM,Video,No
user_082,Multi-modal Learning,9,7,None,LOW,Reading & Notes,No
user_055,Vector Search,5,4,Misclassified overfitting vs underfitting,HIGH,Hands-on Coding,No
user_441,Backpropagation,4,3,None,LOW,Hands-on Coding,No
user_478,Transformers,6,5,Confused batch vs. stochastic gradient descent,HIGH,Video,No
user_501,Explainability in AI,3,2,None,MEDIUM,Hands-on Coding,No
user_587,Multi-modal Learning,2,1,None,HIGH,Video,No
user_012,Reinforcement Learning,4,2,None,HIGH,Peer Discussion,Yes
user_375,Reinforcement Learning,3,1,None,HIGH,Video,Yes
user_139,CNNs,10,10,None,HIGH,Hands-on Coding,Yes
user_335,Backpropagation,5,3,Misclassified overfitting vs underfitting,HIGH,Video,No
user_936,Multi-modal Learning,10,10,Confused batch vs. stochastic gradient descent,MEDIUM,Video,No
user_562,Attention Mechanisms,8,6,None,MEDIUM,Hands-on Coding,No
user_009,Gradient Descent,8,6,Misclassified overfitting vs underfitting,LOW,Hands-on Coding,No
user_757,Reinforcement Learning,10,8,Confused batch vs. stochastic gradient descent,MEDIUM,Reading & Notes,No
user_601,CNNs,9,8,Incorrect weight initialization,MEDIUM,Reading & Notes,No
user_096,Multi-modal Learning,10,9,Confused reinforcement learning reward shaping,HIGH,Video,Yes
user_030,Optimization Techniques,7,5,None,LOW,Video,No
user_460,Explainability in AI,1,1,None,HIGH,Hands-on Coding,No
user_737,Zero-shot Learning,3,2,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_717,Explainability in AI,8,7,None,HIGH,Peer Discussion,No
user_600,CNNs,1,1,Incorrect embedding interpretation,HIGH,Reading & Notes,Yes
user_647,Overfitting and Regularization,1,1,None,MEDIUM,Reading & Notes,No
user_418,Gradient Descent,5,4,None,MEDIUM,Video,No
user_272,Explainability in AI,3,1,Confused convolutional filters,HIGH,Hands-on Coding,Yes
user_662,Zero-shot Learning,5,4,Incorrect weight initialization,LOW,Peer Discussion,No
user_479,Backpropagation,10,10,Confused reinforcement learning reward shaping,MEDIUM,Video,No
user_757,Multi-modal Learning,9,7,None,MEDIUM,Hands-on Coding,No
