User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_905,Self-supervised Learning,9,9,Incorrect embedding interpretation,HIGH,Reading & Notes,No
user_066,Overfitting and Regularization,2,1,None,MEDIUM,Video,No
user_028,Few-shot Learning,2,2,None,HIGH,Peer Discussion,Yes
user_742,Gradient Descent,9,8,Confused convolutional filters,HIGH,Hands-on Coding,No
user_486,CNNs,10,9,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_081,Optimization Techniques,8,7,Misunderstood positional encoding in transformers,HIGH,Hands-on Coding,Yes
user_578,Few-shot Learning,7,7,Misused dropout layers,LOW,Peer Discussion,No
user_020,RNNs,10,10,Failed to normalize input data,HIGH,Hands-on Coding,Yes
user_726,Autoencoders,8,7,None,HIGH,Hands-on Coding,Yes
user_902,Multi-modal Learning,4,2,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_629,GANs,2,1,Misused activation function,LOW,Hands-on Coding,No
user_445,CNNs,7,5,Incorrect embedding interpretation,MEDIUM,Reading & Notes,No
user_919,Ethical AI,6,6,Confused batch vs. stochastic gradient descent,HIGH,Video,No
user_106,Optimization Techniques,3,1,None,HIGH,Reading & Notes,No
user_415,Explainability in AI,8,8,None,HIGH,Hands-on Coding,No
user_222,Overfitting and Regularization,10,8,Confused convolutional filters,HIGH,Reading & Notes,No
user_027,RNNs,9,8,None,HIGH,Video,Yes
user_293,Few-shot Learning,7,7,Misclassified overfitting vs underfitting,HIGH,Reading & Notes,No
user_162,Ethical AI,7,5,None,HIGH,Hands-on Coding,No
user_479,Self-supervised Learning,7,5,Confused batch vs. stochastic gradient descent,LOW,Video,No
user_058,Overfitting and Regularization,5,4,None,HIGH,Hands-on Coding,Yes
user_270,Ethical AI,5,3,None,LOW,Peer Discussion,No
user_118,Word Embeddings,5,5,None,LOW,Hands-on Coding,No
user_845,Backpropagation,5,3,None,HIGH,Hands-on Coding,No
user_574,Transformers,3,1,Failed to normalize input data,MEDIUM,Hands-on Coding,No
user_230,CNNs,6,5,None,LOW,Reading & Notes,No
user_813,Gradient Descent,4,2,None,MEDIUM,Reading & Notes,No
user_084,Self-supervised Learning,5,5,None,HIGH,Reading & Notes,No
user_531,Attention Mechanisms,5,5,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_248,Transformers,3,2,None,LOW,Video,No
user_098,Optimization Techniques,2,1,None,MEDIUM,Video,No
user_063,Overfitting and Regularization,3,2,Failed to normalize input data,MEDIUM,Peer Discussion,No
user_440,GANs,4,3,None,LOW,Hands-on Coding,No
user_099,GANs,7,7,None,LOW,Video,No
user_742,Few-shot Learning,8,6,Failed to normalize input data,MEDIUM,Reading & Notes,No
user_206,Gradient Descent,9,7,None,HIGH,Video,No
user_879,GANs,4,3,Misunderstood positional encoding in transformers,LOW,Peer Discussion,No
user_453,Zero-shot Learning,1,1,Incorrect embedding interpretation,MEDIUM,Hands-on Coding,No
user_142,Attention Mechanisms,4,4,None,MEDIUM,Video,No
user_805,LLMs in Real-World Applications,2,2,Incorrect embedding interpretation,HIGH,Hands-on Coding,Yes
user_729,Multi-modal Learning,4,3,Confused convolutional filters,MEDIUM,Video,No
user_991,Gradient Descent,6,5,Misunderstood positional encoding in transformers,HIGH,Peer Discussion,Yes
user_086,Ethical AI,2,1,None,HIGH,Reading & Notes,No
user_057,GANs,2,1,Incorrect embedding interpretation,LOW,Hands-on Coding,No
user_839,Attention Mechanisms,7,6,Misunderstood positional encoding in transformers,MEDIUM,Reading & Notes,No
user_253,LLMs in Real-World Applications,8,8,Incorrect embedding interpretation,HIGH,Reading & Notes,No
user_896,GANs,1,1,Misused activation function,LOW,Hands-on Coding,No
user_370,GANs,4,4,None,MEDIUM,Peer Discussion,No
user_421,Few-shot Learning,5,4,Confused convolutional filters,HIGH,Peer Discussion,Yes
user_170,Reinforcement Learning,10,9,Confused batch vs. stochastic gradient descent,MEDIUM,Video,No
user_444,Attention Mechanisms,3,2,None,LOW,Video,No
user_984,Backpropagation,7,5,Misunderstood positional encoding in transformers,LOW,Peer Discussion,No
user_422,Word Embeddings,5,4,Confused batch vs. stochastic gradient descent,HIGH,Video,Yes
user_252,Multi-modal Learning,8,7,Confused convolutional filters,HIGH,Peer Discussion,Yes
user_967,Neural Networks,10,8,None,MEDIUM,Hands-on Coding,No
user_951,GANs,2,1,None,HIGH,Peer Discussion,Yes
user_448,Backpropagation,5,5,Misclassified overfitting vs underfitting,MEDIUM,Peer Discussion,No
user_496,GANs,3,1,Misused dropout layers,HIGH,Hands-on Coding,No
user_478,Ethical AI,10,9,None,MEDIUM,Video,No
user_745,Vector Search,9,7,Incorrect embedding interpretation,HIGH,Reading & Notes,Yes
user_017,Multi-modal Learning,8,8,Confused reinforcement learning reward shaping,HIGH,Hands-on Coding,No
user_734,Word Embeddings,6,4,Incorrect weight initialization,HIGH,Reading & Notes,No
user_532,CNNs,6,6,None,LOW,Peer Discussion,No
user_277,Optimization Techniques,4,4,Misclassified overfitting vs underfitting,MEDIUM,Hands-on Coding,No
user_629,CNNs,8,8,None,HIGH,Peer Discussion,No
user_236,Multi-modal Learning,7,6,Misclassified overfitting vs underfitting,LOW,Peer Discussion,No
user_336,Overfitting and Regularization,8,8,None,MEDIUM,Peer Discussion,No
user_390,LLMs in Real-World Applications,10,8,Confused reinforcement learning reward shaping,LOW,Video,No
user_300,Neural Networks,1,1,None,LOW,Video,No
user_045,Word Embeddings,2,1,None,HIGH,Video,No
user_113,Explainability in AI,1,1,Confused reinforcement learning reward shaping,LOW,Hands-on Coding,No
user_756,Multi-modal Learning,5,3,None,MEDIUM,Hands-on Coding,No
user_376,Self-supervised Learning,2,1,None,MEDIUM,Peer Discussion,No
user_703,GANs,3,1,None,HIGH,Hands-on Coding,No
user_005,Diffusion Models,5,3,Incorrect embedding interpretation,LOW,Hands-on Coding,No
user_006,Diffusion Models,7,5,None,MEDIUM,Peer Discussion,No
user_018,Vector Search,8,7,Incorrect embedding interpretation,MEDIUM,Hands-on Coding,No
user_293,Few-shot Learning,8,8,Misused dropout layers,LOW,Reading & Notes,No
user_630,Vector Search,9,8,Misused activation function,MEDIUM,Reading & Notes,No
user_269,Word Embeddings,6,4,None,MEDIUM,Hands-on Coding,No
user_783,Gradient Descent,7,6,Confused reinforcement learning reward shaping,MEDIUM,Video,No
user_919,Vector Search,10,8,None,MEDIUM,Hands-on Coding,No
user_834,Ethical AI,2,2,Failed to normalize input data,MEDIUM,Peer Discussion,No
user_713,Gradient Descent,1,1,Misused dropout layers,HIGH,Peer Discussion,Yes
user_408,Neural Networks,9,8,Misused activation function,LOW,Reading & Notes,No
user_037,Word Embeddings,1,1,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_931,Reinforcement Learning,1,1,Incorrect embedding interpretation,HIGH,Video,No
user_432,Reinforcement Learning,1,1,None,LOW,Video,No
user_770,Gradient Descent,5,3,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,Yes
user_260,CNNs,6,6,Misused dropout layers,LOW,Peer Discussion,No
user_215,Explainability in AI,4,4,None,MEDIUM,Peer Discussion,No
user_706,Overfitting and Regularization,6,4,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_847,GANs,8,6,Incorrect weight initialization,MEDIUM,Reading & Notes,No
user_059,Backpropagation,1,1,Incorrect weight initialization,MEDIUM,Video,No
user_859,Diffusion Models,5,4,None,MEDIUM,Video,No
user_262,RNNs,4,3,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_894,Zero-shot Learning,9,9,Misused activation function,LOW,Hands-on Coding,No
user_866,Ethical AI,4,4,None,LOW,Hands-on Coding,No
user_696,Reinforcement Learning,10,10,Misused activation function,MEDIUM,Video,No
user_845,Gradient Descent,3,1,None,MEDIUM,Video,No
user_795,Gradient Descent,10,9,None,LOW,Reading & Notes,No
user_790,Neural Networks,4,4,None,HIGH,Reading & Notes,No
user_473,Zero-shot Learning,4,2,Misused dropout layers,MEDIUM,Video,No
user_065,Backpropagation,9,7,None,HIGH,Peer Discussion,No
user_885,GANs,7,7,None,MEDIUM,Peer Discussion,No
user_1000,Autoencoders,6,4,None,LOW,Video,No
user_326,CNNs,5,4,Misunderstood positional encoding in transformers,LOW,Video,No
user_076,Neural Networks,10,8,Misused activation function,LOW,Peer Discussion,No
user_705,Self-supervised Learning,2,1,Failed to normalize input data,LOW,Reading & Notes,No
user_167,Explainability in AI,3,2,Incorrect embedding interpretation,LOW,Hands-on Coding,No
user_309,Autoencoders,6,5,Failed to normalize input data,LOW,Peer Discussion,No
user_757,Explainability in AI,2,1,Misunderstood positional encoding in transformers,HIGH,Video,No
user_419,Word Embeddings,6,4,None,LOW,Hands-on Coding,No
user_920,LLMs in Real-World Applications,5,4,Incorrect embedding interpretation,LOW,Reading & Notes,No
user_458,Autoencoders,5,5,None,HIGH,Reading & Notes,Yes
user_974,Ethical AI,9,9,Misused dropout layers,HIGH,Video,Yes
user_100,GANs,9,7,None,HIGH,Peer Discussion,Yes
user_981,Multi-modal Learning,3,1,Confused convolutional filters,MEDIUM,Peer Discussion,No
user_898,Word Embeddings,6,6,Misclassified overfitting vs underfitting,LOW,Video,No
user_448,Explainability in AI,3,2,None,HIGH,Reading & Notes,No
user_733,Attention Mechanisms,8,8,Misclassified overfitting vs underfitting,MEDIUM,Video,No
user_715,Self-supervised Learning,9,8,None,HIGH,Reading & Notes,No
user_396,Backpropagation,2,1,None,HIGH,Reading & Notes,Yes
user_558,Autoencoders,6,4,None,MEDIUM,Hands-on Coding,No
user_820,Optimization Techniques,2,1,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,Yes
user_643,RNNs,1,1,None,HIGH,Hands-on Coding,No
user_160,Attention Mechanisms,8,8,Misunderstood positional encoding in transformers,LOW,Peer Discussion,No
user_127,Reinforcement Learning,7,6,Confused convolutional filters,LOW,Video,No
user_403,Few-shot Learning,7,6,None,MEDIUM,Reading & Notes,No
user_550,Ethical AI,2,1,Confused convolutional filters,MEDIUM,Video,No
user_925,Diffusion Models,3,3,None,MEDIUM,Reading & Notes,No
user_917,Attention Mechanisms,10,9,None,LOW,Hands-on Coding,No
user_074,Backpropagation,3,2,Misused activation function,HIGH,Video,Yes
user_277,Ethical AI,10,8,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,No
user_120,Self-supervised Learning,2,2,None,LOW,Hands-on Coding,No
user_548,CNNs,3,2,Confused reinforcement learning reward shaping,HIGH,Reading & Notes,Yes
user_825,Neural Networks,8,8,Misused dropout layers,LOW,Video,No
user_825,Zero-shot Learning,10,9,None,LOW,Peer Discussion,No
user_946,Attention Mechanisms,2,1,Failed to normalize input data,MEDIUM,Reading & Notes,No
user_191,Zero-shot Learning,5,5,Confused convolutional filters,HIGH,Peer Discussion,Yes
user_494,Ethical AI,4,3,Failed to normalize input data,HIGH,Peer Discussion,No
user_864,Diffusion Models,7,7,Incorrect embedding interpretation,HIGH,Hands-on Coding,No
user_595,Backpropagation,1,1,Confused convolutional filters,HIGH,Hands-on Coding,No
user_761,CNNs,2,1,Confused batch vs. stochastic gradient descent,HIGH,Video,No
user_456,Explainability in AI,8,8,None,HIGH,Peer Discussion,No
user_417,LLMs in Real-World Applications,5,3,Misused activation function,MEDIUM,Reading & Notes,No
user_743,Explainability in AI,6,6,Confused convolutional filters,MEDIUM,Reading & Notes,No
user_453,Word Embeddings,2,1,Failed to normalize input data,LOW,Peer Discussion,No
user_900,CNNs,6,5,None,LOW,Hands-on Coding,No
user_603,Few-shot Learning,7,5,Misused activation function,MEDIUM,Hands-on Coding,No
user_424,RNNs,6,6,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_211,RNNs,8,7,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_742,Overfitting and Regularization,9,7,Incorrect embedding interpretation,HIGH,Reading & Notes,Yes
user_824,GANs,5,4,Confused convolutional filters,MEDIUM,Peer Discussion,No
user_294,Word Embeddings,9,9,Misunderstood positional encoding in transformers,MEDIUM,Peer Discussion,No
user_141,Attention Mechanisms,3,2,Misused dropout layers,MEDIUM,Hands-on Coding,No
user_489,Ethical AI,2,1,None,LOW,Video,No
user_233,Word Embeddings,5,5,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_689,Autoencoders,7,7,None,MEDIUM,Hands-on Coding,No
user_545,Explainability in AI,9,7,Misclassified overfitting vs underfitting,LOW,Hands-on Coding,No
user_225,Overfitting and Regularization,9,9,Confused reinforcement learning reward shaping,HIGH,Video,Yes
user_313,Multi-modal Learning,1,1,None,LOW,Peer Discussion,No
user_397,Attention Mechanisms,2,1,None,HIGH,Reading & Notes,Yes
