User_ID,Topic,Self-Confidence,AI-Adjusted Confidence,Errors,Transition Difficulty,Learning Modality,Frustration
user_498,Diffusion Models,10,10,None,LOW,Peer Discussion,No
user_694,Reinforcement Learning,3,3,None,LOW,Reading & Notes,No
user_056,Zero-shot Learning,10,10,Confused batch vs. stochastic gradient descent,MEDIUM,Peer Discussion,No
user_451,Transformers,5,3,None,MEDIUM,Peer Discussion,No
user_147,Diffusion Models,1,1,Confused convolutional filters,MEDIUM,Peer Discussion,No
user_995,Explainability in AI,6,6,Misused dropout layers,LOW,Reading & Notes,No
user_129,Multi-modal Learning,5,5,Misunderstood positional encoding in transformers,LOW,Reading & Notes,No
user_088,LLMs in Real-World Applications,1,1,None,MEDIUM,Peer Discussion,No
user_431,RNNs,8,7,Incorrect weight initialization,HIGH,Reading & Notes,Yes
user_335,CNNs,9,9,Misused dropout layers,HIGH,Reading & Notes,No
user_401,Attention Mechanisms,1,1,None,HIGH,Reading & Notes,Yes
user_861,Optimization Techniques,6,6,Misused dropout layers,LOW,Peer Discussion,No
user_606,Gradient Descent,10,10,None,HIGH,Video,No
user_754,Backpropagation,3,1,Misclassified overfitting vs underfitting,MEDIUM,Peer Discussion,No
user_815,Optimization Techniques,4,2,Misclassified overfitting vs underfitting,MEDIUM,Peer Discussion,No
user_617,CNNs,7,7,Misused dropout layers,LOW,Reading & Notes,No
user_710,GANs,6,4,Incorrect weight initialization,MEDIUM,Reading & Notes,No
user_979,Ethical AI,1,1,Misused activation function,MEDIUM,Reading & Notes,No
user_167,Attention Mechanisms,1,1,Confused batch vs. stochastic gradient descent,LOW,Hands-on Coding,No
user_141,Vector Search,4,3,Incorrect weight initialization,HIGH,Reading & Notes,Yes
user_556,Reinforcement Learning,7,5,Incorrect embedding interpretation,LOW,Hands-on Coding,No
user_439,Neural Networks,2,1,Misused dropout layers,MEDIUM,Video,No
user_642,GANs,1,1,Misused activation function,MEDIUM,Peer Discussion,No
user_325,Self-supervised Learning,10,9,None,LOW,Reading & Notes,No
user_036,Diffusion Models,10,10,None,MEDIUM,Hands-on Coding,No
user_987,Explainability in AI,7,5,Confused reinforcement learning reward shaping,MEDIUM,Reading & Notes,No
user_650,GANs,1,1,Confused reinforcement learning reward shaping,HIGH,Peer Discussion,No
user_221,Word Embeddings,4,3,Incorrect embedding interpretation,MEDIUM,Hands-on Coding,No
user_938,Ethical AI,1,1,Incorrect embedding interpretation,HIGH,Reading & Notes,Yes
user_228,CNNs,6,4,Confused batch vs. stochastic gradient descent,LOW,Hands-on Coding,No
user_780,Reinforcement Learning,10,9,Incorrect weight initialization,HIGH,Hands-on Coding,Yes
user_075,Self-supervised Learning,8,8,None,LOW,Reading & Notes,No
user_451,Word Embeddings,8,7,None,LOW,Video,No
user_491,Multi-modal Learning,10,10,Misused dropout layers,HIGH,Hands-on Coding,No
user_095,Reinforcement Learning,7,7,None,MEDIUM,Video,No
user_300,Autoencoders,1,1,Incorrect embedding interpretation,MEDIUM,Reading & Notes,No
user_795,LLMs in Real-World Applications,1,1,Incorrect weight initialization,LOW,Hands-on Coding,No
user_118,Neural Networks,1,1,Misunderstood positional encoding in transformers,MEDIUM,Reading & Notes,No
user_484,Neural Networks,2,1,Incorrect weight initialization,HIGH,Video,No
user_009,RNNs,7,6,Confused convolutional filters,HIGH,Peer Discussion,No
user_671,GANs,1,1,Failed to normalize input data,MEDIUM,Peer Discussion,No
user_914,Optimization Techniques,10,9,Misunderstood positional encoding in transformers,MEDIUM,Hands-on Coding,No
user_838,Multi-modal Learning,7,6,Misclassified overfitting vs underfitting,HIGH,Peer Discussion,Yes
user_802,Gradient Descent,3,3,Incorrect embedding interpretation,LOW,Reading & Notes,No
user_528,Few-shot Learning,5,3,Misunderstood positional encoding in transformers,HIGH,Hands-on Coding,Yes
user_512,Autoencoders,6,5,Confused convolutional filters,MEDIUM,Hands-on Coding,No
user_595,Diffusion Models,8,8,Confused convolutional filters,MEDIUM,Video,No
user_456,Neural Networks,4,4,Failed to normalize input data,HIGH,Peer Discussion,Yes
user_458,RNNs,10,9,None,HIGH,Peer Discussion,No
user_810,Word Embeddings,8,7,None,HIGH,Reading & Notes,Yes
user_797,Explainability in AI,5,3,Confused batch vs. stochastic gradient descent,MEDIUM,Reading & Notes,No
user_734,Vector Search,4,4,None,LOW,Video,No
user_488,LLMs in Real-World Applications,2,1,None,LOW,Video,No
user_063,Diffusion Models,1,1,None,MEDIUM,Peer Discussion,No
user_725,Ethical AI,3,1,Misunderstood positional encoding in transformers,LOW,Video,No
user_410,LLMs in Real-World Applications,9,9,None,MEDIUM,Hands-on Coding,No
user_214,Zero-shot Learning,6,5,Confused reinforcement learning reward shaping,LOW,Peer Discussion,No
user_309,Neural Networks,4,4,Confused convolutional filters,LOW,Peer Discussion,No
user_623,RNNs,1,1,None,HIGH,Peer Discussion,No
user_162,Word Embeddings,3,2,None,LOW,Hands-on Coding,No
user_777,Optimization Techniques,3,1,None,HIGH,Reading & Notes,Yes
user_354,Explainability in AI,7,5,Incorrect weight initialization,MEDIUM,Peer Discussion,No
user_025,GANs,2,2,Confused batch vs. stochastic gradient descent,HIGH,Video,No
user_849,Self-supervised Learning,10,10,Incorrect embedding interpretation,MEDIUM,Hands-on Coding,No
user_147,Ethical AI,2,1,None,MEDIUM,Video,No
user_422,RNNs,4,3,Incorrect embedding interpretation,MEDIUM,Peer Discussion,No
user_573,Attention Mechanisms,1,1,None,MEDIUM,Video,No
user_395,LLMs in Real-World Applications,8,7,None,MEDIUM,Peer Discussion,No
user_657,Attention Mechanisms,2,1,Confused batch vs. stochastic gradient descent,MEDIUM,Reading & Notes,No
user_168,Diffusion Models,5,5,None,LOW,Hands-on Coding,No
user_041,RNNs,9,7,None,MEDIUM,Video,No
user_859,Explainability in AI,4,2,None,LOW,Peer Discussion,No
